DataCollector#stop;Dashboard#stop;Planner#stop;Planner#start;DataCollector#start;Dashboard#re-start
56.243;0.816;6.676;183.488;372.15;198.647
57.548;0.778;11.336;165.588;364.536;180.566
70.886;0.756;7.125;178.544;387.124;193.382
58.343;0.809;6.396;170.978;373.063;186.236
71.222;0.799;8.08;168.857;384.333;184.072
56.166;0.864;10.546;166.446;370.328;181.698
58.887;0.85;13.306;178.178;405.411;193.518
62.612;0.985;6.313;173.861;375.304;190.671
61.151;0.797;9.154;164.641;365.135;179.67
64.392;0.778;14.758;168.6;370.569;183.652
65.608;0.819;10.811;186.621;378.652;201.763
59.858;0.791;8.195;174.107;373.44;189.085
55.69;0.802;6.08;180.336;364.959;195.267
60.658;0.813;5.581;182.705;375.175;198.256
52.059;0.804;10.161;152.193;370.076;167.097
58.703;0.815;8.226;157.928;381.447;172.862
57.876;0.816;6.751;153.243;379.53;168.505
51.094;0.778;8.008;159.917;366.353;176.349
57.832;0.829;14.892;153.9;380.319;169.043
58.448;0.786;5.873;155.268;375.113;170.092
57.789;0.814;5.546;183.689;400.933;199.625
52.97;0.775;5.45;150.767;369.502;165.652
62.01;0.812;6.493;159.039;412.524;173.947
59.269;0.808;10.148;177.044;373.504;192.204
61.525;0.807;6.101;153.197;381.376;168.797
63.653;0.79;7.075;172.943;368.302;187.833
54.67;0.828;8.625;173.57;353.17;189.889
54.589;0.805;7.991;238.129;355.289;252.862
57.465;0.791;8.783;182.787;365.715;198.387
53.62;0.82;29.087;171.584;361.404;186.719
64.832;0.821;7.107;172.095;372.949;187.654
53.838;0.783;7.941;151.442;360.633;168.229
62.491;0.773;7.374;159.406;363.664;174.326
65.564;0.807;5.593;215.134;381.648;230.228
56.651;0.822;7.273;198.799;370.788;214.099
53.319;0.794;5.336;175.593;365.128;192.82
56.82;0.807;14.947;173.546;356.177;188.684
56.711;0.817;5.774;173.622;366.876;188.828
53.51;0.792;5.048;152.831;367.659;168.148
53.085;2.195;7.276;163.295;356.859;178.362
58.761;0.8;5.898;166.148;359.851;182.209
54.315;0.812;5.397;161.577;356.58;176.519
56.226;0.823;6.316;173.233;370.36;188.385
54.75;2.282;7.296;159.71;357.438;174.902
57.5;0.786;5.843;163.886;380.14;180.034
63.625;0.831;6.452;214.441;360.893;230.557
58.382;0.802;5.859;159.552;358.35;175.298
75.41;2.27;8.91;262.431;387.691;335.578
63.436;0.772;9.967;224.192;365.803;239.159
72.473;0.823;5.796;232.965;373.793;248.069
64.23;0.805;9.156;250.603;367.963;312.797
62.59;0.814;5.859;194.925;360.862;209.99
76.213;0.8;8.339;229.161;399.958;246.071
60.41;0.79;7.452;214.187;357.648;229.346
63.592;2.134;15.628;220.372;354.849;235.497
70.811;0.805;7.376;231.941;370.205;247.251
64.209;2.24;10.35;234.892;378.353;250.068
69.758;0.813;6.633;270.664;384.601;333.337
73.198;0.804;10.618;179.203;573.726;194.406
77.16;0.814;7.296;179.2;406.992;196.036
64.018;0.761;10.816;166.7;382.127;181.447
65.782;0.775;8.505;169.953;387.029;184.856
73.449;0.771;11.831;177.037;475.956;192.168
64.194;2.174;11.943;213.925;381.549;229.184
63.947;0.806;19.82;170.952;385.056;185.969
81.922;0.799;18.506;186.716;428.046;201.814
61.331;0.804;18.45;187.597;378.999;203.221
57.043;0.814;13.532;233.321;395.965;249.235
62.209;2.209;31.168;178.413;393.446;194.974
62.239;0.778;9.979;167.432;373.915;182.518
63.231;0.818;14.577;173.417;377.714;189.301
105.191;2.289;13.969;209.981;418.079;225.843
97.315;3.963;9.757;201.687;407.899;216.711
59.738;0.809;8.312;164.25;376.617;179.352
73.065;0.82;8.182;196.896;383.459;212.035
82.967;2.301;6.731;198.23;396.506;213.639
75.893;0.787;6.563;199.539;388.751;214.843
76.589;0.785;6.272;185.619;389.934;200.738
62.686;0.785;9.046;227.714;368.901;242.655
61.279;0.816;5.61;325.963;381.376;342.597
64.12;3.02;18.57;169.215;405.01;185.866
61.304;0.814;6.83;211.906;407.163;241.421
60.72;0.814;11.599;180.992;403.761;196.05
72.688;0.783;7.272;183.341;434.431;199.511
62.608;0.817;9.653;182.252;464.152;197.339
62.637;0.793;7.956;192.448;419.739;207.848
61.024;0.783;9.126;182.677;410.411;197.804
61.284;0.803;5.921;233.304;417.999;304.251
69.435;0.803;9.215;230.852;429.403;302.783
65.6;0.795;6.242;263.818;377.619;327.043
63.386;0.776;6.054;224.17;373.337;239.659
59.892;0.788;7.511;277.087;381.952;342.948
70.256;0.753;7.021;201.483;387.183;217.259
75.538;0.755;6.38;202.832;392.891;218.31
62.214;0.755;9.149;180.519;379.95;195.53
70.973;0.787;8.978;184.258;386.079;199.307
71.898;0.807;5.581;180.215;377.935;195.177
74.132;0.8;6.249;185.266;394.8;200.552
60.933;0.771;13.806;176.686;379.736;191.69
73.293;0.823;8.667;200.96;391.201;216.141
