Dashboard#start;Dashboard#release
525.796;582.537
522.549;578.793
401.926;470.785
412.082;473.124
387.278;446.599
396.804;459.085
386.55;444.801
587.956;643.709
380.136;439.333
403.765;460.037
383.083;442.011
438.513;497.445
546.111;615.881
375.763;435.544
415.426;471.286
389.752;445.856
415.198;472.492
398.534;454.968
419.685;486.13
396.319;453.149
399.871;460.646
401.308;459.238
402.364;467.678
568.811;623.596
423.965;479.827
423.013;472.335
418.027;465.457
382.061;430.122
396.717;443.836
383.527;432.176
390.827;438.998
382.776;429.481
392.271;442.97
377.913;428.963
553.983;613.498
406.977;462.894
410.634;465.305
405.536;460.604
401.293;452.879
403.846;457.999
933.21;989.316
406.629;462.628
404.004;463.493
401.786;465.572
404.806;465.736
566.884;639.281
406.122;458.99
399.847;453.312
397.471;452.094
391.743;449.74
401.73;454.091
389.058;442.457
399.761;453.117
402.02;455.608
387.278;440.233
391.083;444.55
587.33;998.931
396.989;452.37
388.826;478.108
376.638;465.876
392.037;448.946
408.565;464.108
382.476;437.351
382.417;444.185
394.957;464.035
499.504;553.301
406.211;469.129
614.496;677.528
392.336;446.989
427.154;496.126
420.319;494.877
423.307;485.784
424.697;506.66
414.752;477.16
426.567;506.443
423.035;484.798
413.718;475.409
421.51;495.001
629.216;685.851
411.181;474.19
389.579;451.384
407.416;474.101
402.566;464.361
405.245;478.545
386.424;448.987
392.845;461.566
403.09;477.976
386.783;449.16
401.38;470.491
660.654;718.645
384.795;446.584
398.498;470.5
395.915;469.151
414.937;487.257
554.311;618.6
396.49;472.291
396.331;459.429
555.985;628.091
406.184;475.642
399.987;462.372
